Show_ID,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
s381,Movie,Title 381,David Wilson,"Alia Bhatt, Emma Stone, Chris Evans",United Kingdom,27-Nov-2022,2012,TV-PG,88 min,Horror,A horror movie available on Netflix.
s382,Movie,Title 382,Michael Brown,"Ryan Reynolds, Alia Bhatt",United States,24-Sep-2019,1990,R,76 min,"Comedy, Crime","A comedy, crime movie available on Netflix."
s383,TV Show,Title 383,Ava Johnson,"Alia Bhatt, Tom Holland, Millie Bobby Brown, Scarlett Johansson",Germany,11-Nov-2016,2023,R,4 Seasons,"Action, Thriller, Adventure","A action, thriller, adventure tv show available on Netflix."
s384,Movie,Title 384,David Wilson,"Scarlett Johansson, Ryan Reynolds, Zendaya, Aamir Khan",Mexico,17-Feb-2018,2008,TV-MA,112 min,Thriller,A thriller movie available on Netflix.
s385,TV Show,Title 385,James Lewis,"Alia Bhatt, Ryan Reynolds, Zendaya",United Kingdom,17-Mar-2018,1992,G,2 Seasons,"Comedy, Action","A comedy, action tv show available on Netflix."
s386,TV Show,Title 386,Sara Davis,"Alia Bhatt, Emma Stone, Robert De Niro",Germany,22-Nov-2020,2007,TV-MA,5 Seasons,"Romance, Sci-Fi, Comedy","A romance, sci-fi, comedy tv show available on Netflix."
s387,Movie,Title 387,Rachel Adams,"Chris Evans, Emma Stone, Ryan Reynolds",India,18-Mar-2023,2019,R,132 min,"Horror, Sci-Fi","A horror, sci-fi movie available on Netflix."
s388,TV Show,Title 388,Emily Clark,"Zendaya, Emma Stone, Alia Bhatt, Robert De Niro",Canada,23-Aug-2018,2017,G,3 Seasons,Horror,A horror tv show available on Netflix.
s389,TV Show,Title 389,Michael Brown,"Emma Stone, Ryan Reynolds",France,5-Nov-2023,2013,R,8 Seasons,Thriller,A thriller tv show available on Netflix.
s390,Movie,Title 390,Sara Davis,"Aamir Khan, Zendaya, Emma Stone",Spain,14-Jun-2021,1990,TV-PG,174 min,"Action, Drama","A action, drama movie available on Netflix."
s391,Movie,Title 391,Sara Davis,"Ryan Reynolds, Zendaya, Millie Bobby Brown, Aamir Khan",France,3-Jun-2019,2020,TV-MA,146 min,"Crime, Comedy","A crime, comedy movie available on Netflix."
s392,Movie,Title 392,John Smith,"Aamir Khan, Tom Holland, Scarlett Johansson, Robert De Niro",South Korea,27-Dec-2021,1997,R,144 min,Thriller,A thriller movie available on Netflix.
s393,Movie,Title 393,Emily Clark,"Emma Stone, Tom Holland",United Kingdom,1-Jan-2023,2020,G,119 min,Horror,A horror movie available on Netflix.
s394,Movie,Title 394,Emily Clark,"Aamir Khan, Robert De Niro",India,18-Feb-2015,2020,PG-13,66 min,"Romance, Documentary","A romance, documentary movie available on Netflix."
s395,Movie,Title 395,James Lewis,"Tom Holland, Zendaya, Emma Stone",Mexico,10-Jul-2023,1992,PG-13,159 min,"Thriller, Drama","A thriller, drama movie available on Netflix."
s396,Movie,Title 396,Ava Johnson,"Emma Stone, Ryan Reynolds, Alia Bhatt, Scarlett Johansson",India,19-Mar-2022,2014,PG,83 min,"Documentary, Horror, Action","A documentary, horror, action movie available on Netflix."
s397,Movie,Title 397,Sara Davis,"Tom Holland, Chris Evans, Ryan Reynolds",France,17-Dec-2024,1999,TV-MA,80 min,"Sci-Fi, Thriller","A sci-fi, thriller movie available on Netflix."
s398,Movie,Title 398,Ava Johnson,"Emma Stone, Millie Bobby Brown, Robert De Niro",Spain,6-Apr-2018,2002,G,98 min,Romance,A romance movie available on Netflix.
s399,Movie,Title 399,James Lewis,"Chris Evans, Emma Stone",Japan,21-Jun-2022,2024,R,149 min,Thriller,A thriller movie available on Netflix.
s400,Movie,Title 400,Michael Brown,"Tom Holland, Emma Stone",France,12-Aug-2021,2017,G,62 min,Action,A action movie available on Netflix.
s401,Movie,Title 401,Ava Johnson,"Tom Holland, Zendaya, Alia Bhatt, Ryan Reynolds",Germany,4-Jan-2020,2007,TV-MA,106 min,"Action, Crime","A action, crime movie available on Netflix."
s402,TV Show,Title 402,Rachel Adams,"Chris Evans, Ryan Reynolds, Alia Bhatt",Germany,4-Aug-2017,2008,TV-14,1 Seasons,"Sci-Fi, Adventure","A sci-fi, adventure tv show available on Netflix."
s403,Movie,Title 403,Ava Johnson,"Emma Stone, Tom Holland",India,13-Dec-2024,2010,G,109 min,"Comedy, Sci-Fi, Action","A comedy, sci-fi, action movie available on Netflix."
s404,TV Show,Title 404,Emily Clark,"Scarlett Johansson, Ryan Reynolds, Tom Holland",Japan,14-Sep-2015,2004,G,3 Seasons,Crime,A crime tv show available on Netflix.
s405,TV Show,Title 405,James Lewis,"Emma Stone, Chris Evans, Aamir Khan, Zendaya",Spain,27-May-2019,2013,R,8 Seasons,Drama,A drama tv show available on Netflix.
s406,TV Show,Title 406,Rachel Adams,"Scarlett Johansson, Zendaya",India,9-Feb-2016,2024,PG-13,2 Seasons,"Sci-Fi, Adventure, Comedy","A sci-fi, adventure, comedy tv show available on Netflix."
s407,TV Show,Title 407,David Wilson,"Ryan Reynolds, Zendaya, Millie Bobby Brown, Robert De Niro",France,23-Apr-2022,1997,PG-13,1 Seasons,"Horror, Drama, Action","A horror, drama, action tv show available on Netflix."
s408,Movie,Title 408,Emily Clark,"Scarlett Johansson, Aamir Khan, Tom Holland",Japan,26-May-2021,1995,PG-13,66 min,"Thriller, Documentary, Comedy","A thriller, documentary, comedy movie available on Netflix."
s409,Movie,Title 409,Michael Brown,"Tom Holland, Chris Evans, Scarlett Johansson, Millie Bobby Brown",India,12-Dec-2022,2017,TV-14,99 min,"Comedy, Adventure, Horror","A comedy, adventure, horror movie available on Netflix."
s410,TV Show,Title 410,Rachel Adams,"Robert De Niro, Alia Bhatt",Spain,16-Jul-2023,2004,R,2 Seasons,Romance,A romance tv show available on Netflix.
s411,Movie,Title 411,John Smith,"Chris Evans, Alia Bhatt",Germany,4-May-2017,2024,TV-PG,162 min,"Comedy, Crime, Thriller","A comedy, crime, thriller movie available on Netflix."
s412,Movie,Title 412,John Smith,"Zendaya, Scarlett Johansson, Chris Evans, Millie Bobby Brown",Mexico,17-Feb-2022,2000,PG,164 min,"Adventure, Crime, Drama","A adventure, crime, drama movie available on Netflix."
s413,TV Show,Title 413,Sara Davis,"Millie Bobby Brown, Aamir Khan",India,9-Dec-2022,2014,R,2 Seasons,"Adventure, Drama","A adventure, drama tv show available on Netflix."
s414,TV Show,Title 414,David Wilson,"Zendaya, Ryan Reynolds, Millie Bobby Brown, Aamir Khan",United States,25-Feb-2022,2016,TV-MA,8 Seasons,"Adventure, Comedy","A adventure, comedy tv show available on Netflix."
s415,Movie,Title 415,James Lewis,"Alia Bhatt, Zendaya, Tom Holland, Ryan Reynolds",France,12-Jun-2016,1995,TV-PG,160 min,"Adventure, Documentary","A adventure, documentary movie available on Netflix."
s416,TV Show,Title 416,Ava Johnson,"Ryan Reynolds, Robert De Niro, Chris Evans, Tom Holland",United Kingdom,27-Aug-2020,2019,R,2 Seasons,Crime,A crime tv show available on Netflix.
s417,TV Show,Title 417,Ava Johnson,"Millie Bobby Brown, Zendaya",Germany,24-Nov-2015,2017,G,7 Seasons,"Comedy, Action","A comedy, action tv show available on Netflix."
s418,Movie,Title 418,Ava Johnson,"Scarlett Johansson, Ryan Reynolds",Japan,12-Oct-2018,1997,TV-14,149 min,"Thriller, Action, Adventure","A thriller, action, adventure movie available on Netflix."
s419,TV Show,Title 419,Rachel Adams,"Millie Bobby Brown, Tom Holland, Robert De Niro, Aamir Khan",Spain,10-Aug-2019,2010,PG-13,1 Seasons,"Drama, Horror, Documentary","A drama, horror, documentary tv show available on Netflix."
s420,TV Show,Title 420,Michael Brown,"Robert De Niro, Aamir Khan, Ryan Reynolds",Spain,12-May-2020,2005,TV-14,2 Seasons,"Horror, Adventure, Action","A horror, adventure, action tv show available on Netflix."
s421,TV Show,Title 421,Rachel Adams,"Ryan Reynolds, Zendaya, Millie Bobby Brown, Scarlett Johansson",Germany,21-Oct-2022,1995,PG-13,6 Seasons,"Drama, Crime","A drama, crime tv show available on Netflix."
s422,Movie,Title 422,Emily Clark,"Scarlett Johansson, Alia Bhatt, Chris Evans",United States,27-Aug-2017,2005,TV-MA,64 min,"Thriller, Horror, Comedy","A thriller, horror, comedy movie available on Netflix."
s423,Movie,Title 423,Emily Clark,"Millie Bobby Brown, Robert De Niro, Alia Bhatt",United States,15-Nov-2019,2015,PG-13,120 min,"Adventure, Comedy, Horror","A adventure, comedy, horror movie available on Netflix."
s424,TV Show,Title 424,Emily Clark,"Aamir Khan, Zendaya, Emma Stone",Spain,23-Jun-2019,2010,PG,6 Seasons,"Sci-Fi, Crime","A sci-fi, crime tv show available on Netflix."
s425,TV Show,Title 425,Michael Brown,"Robert De Niro, Ryan Reynolds",South Korea,11-Apr-2024,1996,TV-14,3 Seasons,Action,A action tv show available on Netflix.
s426,Movie,Title 426,James Lewis,"Emma Stone, Zendaya",South Korea,18-Oct-2022,2010,PG-13,81 min,"Romance, Drama","A romance, drama movie available on Netflix."
s427,Movie,Title 427,Ava Johnson,"Robert De Niro, Chris Evans, Aamir Khan, Millie Bobby Brown",Japan,25-Aug-2022,1995,R,115 min,"Adventure, Romance","A adventure, romance movie available on Netflix."
s428,TV Show,Title 428,John Smith,"Robert De Niro, Emma Stone",India,24-Jun-2018,2003,R,3 Seasons,"Sci-Fi, Action, Documentary","A sci-fi, action, documentary tv show available on Netflix."
s429,TV Show,Title 429,James Lewis,"Robert De Niro, Alia Bhatt",Japan,10-Aug-2022,2001,TV-MA,4 Seasons,"Romance, Drama, Crime","A romance, drama, crime tv show available on Netflix."
s430,Movie,Title 430,David Wilson,"Alia Bhatt, Emma Stone, Zendaya, Tom Holland",South Korea,19-Feb-2020,2002,TV-14,172 min,"Horror, Romance","A horror, romance movie available on Netflix."
s431,Movie,Title 431,David Wilson,"Millie Bobby Brown, Zendaya, Aamir Khan, Robert De Niro",United States,19-Nov-2024,2000,TV-14,78 min,"Romance, Thriller","A romance, thriller movie available on Netflix."
s432,Movie,Title 432,David Wilson,"Chris Evans, Millie Bobby Brown, Tom Holland",France,16-May-2021,2009,G,179 min,Documentary,A documentary movie available on Netflix.
s433,Movie,Title 433,James Lewis,"Emma Stone, Zendaya, Aamir Khan",South Korea,10-Nov-2015,2015,PG-13,158 min,Romance,A romance movie available on Netflix.
s434,Movie,Title 434,James Lewis,"Ryan Reynolds, Aamir Khan",India,17-Nov-2016,2007,PG-13,93 min,"Documentary, Horror, Sci-Fi","A documentary, horror, sci-fi movie available on Netflix."
s435,Movie,Title 435,Sara Davis,"Aamir Khan, Chris Evans, Tom Holland, Millie Bobby Brown",Canada,23-May-2022,1996,PG,153 min,"Sci-Fi, Documentary, Thriller","A sci-fi, documentary, thriller movie available on Netflix."
s436,TV Show,Title 436,David Wilson,"Scarlett Johansson, Emma Stone, Robert De Niro, Chris Evans",France,12-Apr-2019,2024,G,6 Seasons,"Crime, Action","A crime, action tv show available on Netflix."
s437,TV Show,Title 437,John Smith,"Robert De Niro, Aamir Khan, Zendaya",Spain,25-Aug-2019,1990,TV-MA,7 Seasons,Drama,A drama tv show available on Netflix.
s438,TV Show,Title 438,Michael Brown,"Zendaya, Millie Bobby Brown, Emma Stone, Alia Bhatt",Japan,14-Aug-2015,1992,TV-MA,3 Seasons,Adventure,A adventure tv show available on Netflix.
s439,TV Show,Title 439,James Lewis,"Millie Bobby Brown, Tom Holland, Aamir Khan",United States,20-Feb-2015,2011,G,4 Seasons,"Thriller, Action, Documentary","A thriller, action, documentary tv show available on Netflix."
s440,Movie,Title 440,John Smith,"Ryan Reynolds, Millie Bobby Brown",South Korea,10-May-2015,2002,TV-MA,124 min,"Sci-Fi, Crime, Comedy","A sci-fi, crime, comedy movie available on Netflix."
s441,TV Show,Title 441,James Lewis,"Scarlett Johansson, Ryan Reynolds",United Kingdom,6-Apr-2015,2019,PG-13,6 Seasons,"Crime, Adventure, Drama","A crime, adventure, drama tv show available on Netflix."
s442,TV Show,Title 442,Ava Johnson,"Scarlett Johansson, Zendaya",Mexico,20-Mar-2021,1997,TV-PG,8 Seasons,"Thriller, Romance, Crime","A thriller, romance, crime tv show available on Netflix."
s443,Movie,Title 443,John Smith,"Millie Bobby Brown, Emma Stone",Mexico,22-Jul-2019,1998,TV-14,107 min,"Horror, Crime","A horror, crime movie available on Netflix."
s444,TV Show,Title 444,Emily Clark,"Zendaya, Ryan Reynolds, Aamir Khan",Canada,4-Sep-2023,2004,TV-14,1 Seasons,Comedy,A comedy tv show available on Netflix.
s445,TV Show,Title 445,James Lewis,"Aamir Khan, Chris Evans",Mexico,16-Mar-2022,2018,PG,8 Seasons,"Horror, Adventure","A horror, adventure tv show available on Netflix."
s446,TV Show,Title 446,David Wilson,"Alia Bhatt, Robert De Niro, Aamir Khan",United States,7-Jul-2022,2009,PG,1 Seasons,Drama,A drama tv show available on Netflix.
s447,TV Show,Title 447,Sara Davis,"Emma Stone, Robert De Niro, Tom Holland",Germany,18-Feb-2021,2018,R,3 Seasons,"Romance, Action, Adventure","A romance, action, adventure tv show available on Netflix."
s448,TV Show,Title 448,David Wilson,"Tom Holland, Chris Evans",South Korea,27-Apr-2021,1996,TV-14,6 Seasons,"Sci-Fi, Adventure","A sci-fi, adventure tv show available on Netflix."
s449,Movie,Title 449,John Smith,"Scarlett Johansson, Robert De Niro",Germany,18-Nov-2024,2002,R,114 min,"Documentary, Adventure, Action","A documentary, adventure, action movie available on Netflix."
s450,TV Show,Title 450,Michael Brown,"Aamir Khan, Zendaya, Millie Bobby Brown, Tom Holland",South Korea,26-Jun-2023,1994,G,4 Seasons,"Crime, Documentary","A crime, documentary tv show available on Netflix."
s451,TV Show,Title 451,David Wilson,"Robert De Niro, Zendaya",France,2-Dec-2015,2012,R,3 Seasons,"Action, Comedy","A action, comedy tv show available on Netflix."
s452,TV Show,Title 452,Emily Clark,"Emma Stone, Chris Evans, Alia Bhatt",United States,9-Jul-2017,2003,TV-MA,4 Seasons,"Comedy, Documentary","A comedy, documentary tv show available on Netflix."
s453,TV Show,Title 453,Sara Davis,"Aamir Khan, Ryan Reynolds, Chris Evans",Mexico,13-Mar-2019,2017,TV-PG,1 Seasons,"Adventure, Documentary, Romance","A adventure, documentary, romance tv show available on Netflix."
s454,Movie,Title 454,James Lewis,"Zendaya, Robert De Niro",Germany,3-Aug-2015,1999,R,104 min,"Adventure, Action","A adventure, action movie available on Netflix."
s455,Movie,Title 455,Rachel Adams,"Millie Bobby Brown, Scarlett Johansson, Aamir Khan",United States,18-Dec-2018,1993,TV-PG,119 min,"Horror, Sci-Fi","A horror, sci-fi movie available on Netflix."
s456,Movie,Title 456,James Lewis,"Aamir Khan, Robert De Niro, Scarlett Johansson",Canada,4-Sep-2020,2004,G,81 min,"Horror, Crime, Sci-Fi","A horror, crime, sci-fi movie available on Netflix."
s457,Movie,Title 457,Rachel Adams,"Scarlett Johansson, Millie Bobby Brown, Alia Bhatt",France,13-Jan-2017,2006,R,101 min,"Horror, Action, Romance","A horror, action, romance movie available on Netflix."
s458,Movie,Title 458,Emily Clark,"Scarlett Johansson, Ryan Reynolds, Alia Bhatt",United States,4-Jan-2021,1998,PG,90 min,"Adventure, Horror, Drama","A adventure, horror, drama movie available on Netflix."
s459,Movie,Title 459,Michael Brown,"Zendaya, Scarlett Johansson",Mexico,18-Jan-2019,2013,TV-PG,61 min,"Comedy, Sci-Fi, Crime","A comedy, sci-fi, crime movie available on Netflix."
s460,Movie,Title 460,Rachel Adams,"Alia Bhatt, Aamir Khan",Japan,26-Dec-2017,2021,TV-MA,157 min,"Romance, Crime","A romance, crime movie available on Netflix."
s461,TV Show,Title 461,Michael Brown,"Emma Stone, Chris Evans",France,22-Jun-2019,2014,G,4 Seasons,"Documentary, Thriller, Crime","A documentary, thriller, crime tv show available on Netflix."
s462,TV Show,Title 462,Ava Johnson,"Robert De Niro, Emma Stone, Millie Bobby Brown, Ryan Reynolds",Japan,25-Jul-2019,1998,TV-14,3 Seasons,"Documentary, Crime, Drama","A documentary, crime, drama tv show available on Netflix."
s463,Movie,Title 463,Emily Clark,"Emma Stone, Zendaya, Robert De Niro, Ryan Reynolds",France,7-Jan-2021,1993,PG,108 min,"Sci-Fi, Comedy","A sci-fi, comedy movie available on Netflix."
s464,Movie,Title 464,Sara Davis,"Robert De Niro, Tom Holland, Aamir Khan",Germany,26-Apr-2018,2002,PG-13,112 min,Action,A action movie available on Netflix.
s465,Movie,Title 465,Emily Clark,"Ryan Reynolds, Chris Evans, Tom Holland",Germany,3-Dec-2020,2008,PG,108 min,"Adventure, Crime, Sci-Fi","A adventure, crime, sci-fi movie available on Netflix."
s466,Movie,Title 466,Michael Brown,"Aamir Khan, Zendaya, Emma Stone, Chris Evans",South Korea,23-Jan-2017,2020,PG,69 min,"Sci-Fi, Drama","A sci-fi, drama movie available on Netflix."
s467,TV Show,Title 467,Rachel Adams,"Chris Evans, Robert De Niro",Japan,4-Jun-2022,2012,TV-14,8 Seasons,"Drama, Horror","A drama, horror tv show available on Netflix."
s468,Movie,Title 468,Michael Brown,"Alia Bhatt, Scarlett Johansson, Tom Holland, Millie Bobby Brown",Mexico,19-Dec-2021,2004,TV-14,113 min,Drama,A drama movie available on Netflix.
s469,Movie,Title 469,John Smith,"Millie Bobby Brown, Chris Evans",Mexico,7-Feb-2015,1996,PG-13,89 min,"Comedy, Crime","A comedy, crime movie available on Netflix."
s470,TV Show,Title 470,David Wilson,"Zendaya, Emma Stone, Ryan Reynolds, Alia Bhatt",Germany,9-Jul-2018,2017,TV-MA,3 Seasons,"Adventure, Drama","A adventure, drama tv show available on Netflix."
s471,Movie,Title 471,Rachel Adams,"Scarlett Johansson, Tom Holland, Emma Stone",France,3-Feb-2023,1994,TV-PG,90 min,Thriller,A thriller movie available on Netflix.
s472,TV Show,Title 472,Michael Brown,"Chris Evans, Millie Bobby Brown, Aamir Khan",Spain,9-Apr-2017,1990,PG,4 Seasons,"Crime, Thriller","A crime, thriller tv show available on Netflix."
s473,TV Show,Title 473,John Smith,"Millie Bobby Brown, Alia Bhatt, Tom Holland",United Kingdom,24-Feb-2021,1994,PG-13,2 Seasons,Romance,A romance tv show available on Netflix.
s474,TV Show,Title 474,Ava Johnson,"Ryan Reynolds, Robert De Niro",France,22-Dec-2021,2000,PG,6 Seasons,"Crime, Thriller","A crime, thriller tv show available on Netflix."
s475,TV Show,Title 475,Rachel Adams,"Ryan Reynolds, Aamir Khan, Chris Evans",South Korea,17-Oct-2019,1998,PG-13,3 Seasons,Adventure,A adventure tv show available on Netflix.
s476,Movie,Title 476,David Wilson,"Chris Evans, Scarlett Johansson, Millie Bobby Brown, Tom Holland",Mexico,4-Mar-2020,2022,G,121 min,"Crime, Adventure, Action","A crime, adventure, action movie available on Netflix."
s477,Movie,Title 477,John Smith,"Alia Bhatt, Tom Holland",Germany,10-Mar-2018,2003,G,120 min,"Drama, Action","A drama, action movie available on Netflix."
s478,TV Show,Title 478,John Smith,"Chris Evans, Robert De Niro, Scarlett Johansson",United Kingdom,20-Feb-2022,1993,TV-PG,1 Seasons,Crime,A crime tv show available on Netflix.
s479,TV Show,Title 479,Ava Johnson,"Ryan Reynolds, Emma Stone",Canada,12-Dec-2020,2019,TV-14,5 Seasons,"Adventure, Thriller","A adventure, thriller tv show available on Netflix."
s480,TV Show,Title 480,Rachel Adams,"Millie Bobby Brown, Tom Holland, Zendaya",United Kingdom,18-Mar-2016,2011,PG,3 Seasons,Crime,A crime tv show available on Netflix.
s481,TV Show,Title 481,Rachel Adams,"Chris Evans, Millie Bobby Brown, Tom Holland, Emma Stone",Japan,21-May-2018,1990,PG,1 Seasons,"Adventure, Horror","A adventure, horror tv show available on Netflix."
s482,TV Show,Title 482,Emily Clark,"Emma Stone, Tom Holland, Chris Evans, Alia Bhatt",Spain,7-Oct-2021,2020,TV-MA,8 Seasons,"Horror, Drama","A horror, drama tv show available on Netflix."
s483,Movie,Title 483,Emily Clark,"Ryan Reynolds, Robert De Niro, Zendaya, Tom Holland",Mexico,15-Nov-2020,1998,TV-PG,120 min,"Thriller, Drama, Horror","A thriller, drama, horror movie available on Netflix."
s484,Movie,Title 484,John Smith,"Scarlett Johansson, Chris Evans, Ryan Reynolds",Spain,11-Feb-2017,2004,PG,83 min,Romance,A romance movie available on Netflix.
s485,Movie,Title 485,Michael Brown,"Ryan Reynolds, Robert De Niro, Zendaya, Alia Bhatt",United States,20-Sep-2017,2002,TV-14,64 min,Action,A action movie available on Netflix.
s486,Movie,Title 486,Michael Brown,"Robert De Niro, Emma Stone",United States,13-Sep-2019,2024,PG,66 min,Horror,A horror movie available on Netflix.
s487,Movie,Title 487,Sara Davis,"Zendaya, Emma Stone, Alia Bhatt, Scarlett Johansson",Mexico,18-Dec-2024,2024,PG-13,78 min,"Documentary, Drama, Horror","A documentary, drama, horror movie available on Netflix."
s488,Movie,Title 488,John Smith,"Tom Holland, Millie Bobby Brown, Scarlett Johansson, Aamir Khan",Spain,8-Nov-2017,2023,PG,76 min,Documentary,A documentary movie available on Netflix.
s489,TV Show,Title 489,Sara Davis,"Aamir Khan, Chris Evans",Germany,3-Sep-2017,2022,G,8 Seasons,"Comedy, Romance","A comedy, romance tv show available on Netflix."
s490,TV Show,Title 490,Ava Johnson,"Tom Holland, Alia Bhatt, Scarlett Johansson, Millie Bobby Brown",Japan,1-Apr-2020,1992,TV-14,2 Seasons,"Horror, Romance, Documentary","A horror, romance, documentary tv show available on Netflix."
s491,TV Show,Title 491,Ava Johnson,"Emma Stone, Alia Bhatt, Chris Evans",France,7-Mar-2016,2007,TV-14,5 Seasons,Sci-Fi,A sci-fi tv show available on Netflix.
s492,Movie,Title 492,Emily Clark,"Robert De Niro, Aamir Khan",France,27-Aug-2024,2011,PG-13,63 min,"Comedy, Drama, Thriller","A comedy, drama, thriller movie available on Netflix."
s493,Movie,Title 493,Rachel Adams,"Scarlett Johansson, Emma Stone, Millie Bobby Brown",United States,25-Dec-2021,2000,G,179 min,Horror,A horror movie available on Netflix.
s494,TV Show,Title 494,John Smith,"Ryan Reynolds, Robert De Niro, Tom Holland, Zendaya",Canada,1-May-2015,1993,PG,5 Seasons,"Drama, Adventure","A drama, adventure tv show available on Netflix."
s495,TV Show,Title 495,James Lewis,"Aamir Khan, Scarlett Johansson, Chris Evans",India,4-Oct-2022,1998,TV-MA,8 Seasons,"Sci-Fi, Crime","A sci-fi, crime tv show available on Netflix."
s496,Movie,Title 496,Emily Clark,"Aamir Khan, Ryan Reynolds",India,20-Sep-2015,2008,TV-MA,166 min,"Action, Thriller","A action, thriller movie available on Netflix."
s497,Movie,Title 497,James Lewis,"Ryan Reynolds, Scarlett Johansson, Tom Holland",United Kingdom,26-Nov-2022,1997,PG,124 min,Sci-Fi,A sci-fi movie available on Netflix.
s498,TV Show,Title 498,Ava Johnson,"Chris Evans, Tom Holland, Aamir Khan",Germany,25-Feb-2016,2011,TV-PG,8 Seasons,"Horror, Drama","A horror, drama tv show available on Netflix."
s499,TV Show,Title 499,James Lewis,"Emma Stone, Aamir Khan, Scarlett Johansson",Spain,13-Sep-2016,1994,TV-MA,8 Seasons,Action,A action tv show available on Netflix.
s500,Movie,Title 500,John Smith,"Emma Stone, Aamir Khan, Tom Holland, Robert De Niro",France,3-Jun-2015,2019,TV-PG,93 min,"Documentary, Adventure","A documentary, adventure movie available on Netflix."
s501,Movie,Title 501,Ava Johnson,"Tom Holland, Millie Bobby Brown, Ryan Reynolds",Spain,17-May-2018,2024,TV-MA,137 min,"Action, Documentary, Comedy","A action, documentary, comedy movie available on Netflix."
s502,Movie,Title 502,Emily Clark,"Millie Bobby Brown, Robert De Niro, Alia Bhatt",Germany,5-Feb-2017,2021,TV-14,76 min,"Romance, Action","A romance, action movie available on Netflix."
s503,TV Show,Title 503,David Wilson,"Ryan Reynolds, Chris Evans, Emma Stone, Scarlett Johansson",France,11-May-2015,1999,R,1 Seasons,Drama,A drama tv show available on Netflix.
s504,Movie,Title 504,Emily Clark,"Emma Stone, Ryan Reynolds, Aamir Khan",India,15-Nov-2024,2022,R,70 min,"Comedy, Sci-Fi","A comedy, sci-fi movie available on Netflix."
s505,Movie,Title 505,David Wilson,"Alia Bhatt, Robert De Niro, Chris Evans",South Korea,18-Sep-2018,2022,TV-14,143 min,"Thriller, Sci-Fi","A thriller, sci-fi movie available on Netflix."
s506,TV Show,Title 506,Michael Brown,"Scarlett Johansson, Alia Bhatt, Ryan Reynolds",Spain,5-Mar-2017,2011,TV-PG,5 Seasons,"Thriller, Documentary, Comedy","A thriller, documentary, comedy tv show available on Netflix."
s507,Movie,Title 507,David Wilson,"Chris Evans, Millie Bobby Brown",United Kingdom,1-May-2023,2018,PG,106 min,"Romance, Comedy, Documentary","A romance, comedy, documentary movie available on Netflix."
s508,TV Show,Title 508,Rachel Adams,"Zendaya, Millie Bobby Brown, Chris Evans",United Kingdom,5-Mar-2016,1991,G,6 Seasons,Action,A action tv show available on Netflix.
s509,TV Show,Title 509,Ava Johnson,"Chris Evans, Ryan Reynolds, Zendaya, Millie Bobby Brown",United Kingdom,25-Aug-2015,2007,R,7 Seasons,"Documentary, Action","A documentary, action tv show available on Netflix."
s510,Movie,Title 510,James Lewis,"Aamir Khan, Zendaya",South Korea,9-Feb-2015,2000,TV-14,160 min,Action,A action movie available on Netflix.
s511,TV Show,Title 511,Emily Clark,"Zendaya, Chris Evans, Aamir Khan",South Korea,11-Mar-2019,1991,G,4 Seasons,Adventure,A adventure tv show available on Netflix.
s512,Movie,Title 512,Sara Davis,"Aamir Khan, Robert De Niro",United Kingdom,19-Mar-2015,2023,TV-MA,67 min,Drama,A drama movie available on Netflix.
s513,Movie,Title 513,John Smith,"Tom Holland, Zendaya, Chris Evans, Ryan Reynolds",United States,23-Nov-2015,2016,R,66 min,"Action, Sci-Fi, Comedy","A action, sci-fi, comedy movie available on Netflix."
s514,TV Show,Title 514,James Lewis,"Alia Bhatt, Millie Bobby Brown, Chris Evans",Japan,14-Jan-2016,2008,TV-MA,1 Seasons,"Sci-Fi, Action, Drama","A sci-fi, action, drama tv show available on Netflix."
s515,TV Show,Title 515,James Lewis,"Tom Holland, Ryan Reynolds",United States,5-Mar-2021,2004,R,3 Seasons,"Sci-Fi, Adventure, Thriller","A sci-fi, adventure, thriller tv show available on Netflix."
s516,Movie,Title 516,Michael Brown,"Tom Holland, Zendaya",United States,12-Oct-2018,2013,TV-14,141 min,Drama,A drama movie available on Netflix.
s517,Movie,Title 517,James Lewis,"Alia Bhatt, Aamir Khan, Zendaya",Spain,9-Apr-2022,2004,TV-14,118 min,"Crime, Romance, Horror","A crime, romance, horror movie available on Netflix."
s518,TV Show,Title 518,James Lewis,"Alia Bhatt, Aamir Khan",Canada,25-May-2016,2018,TV-PG,7 Seasons,"Crime, Drama","A crime, drama tv show available on Netflix."
s519,TV Show,Title 519,David Wilson,"Emma Stone, Zendaya, Tom Holland, Robert De Niro",Japan,10-Jan-2016,2021,PG,4 Seasons,"Adventure, Comedy, Sci-Fi","A adventure, comedy, sci-fi tv show available on Netflix."
s520,Movie,Title 520,Sara Davis,"Emma Stone, Scarlett Johansson, Zendaya",India,19-Aug-2019,2011,PG,80 min,Comedy,A comedy movie available on Netflix.
s521,Movie,Title 521,Ava Johnson,"Alia Bhatt, Emma Stone",Japan,2-May-2020,2023,TV-MA,151 min,Horror,A horror movie available on Netflix.
s522,TV Show,Title 522,John Smith,"Millie Bobby Brown, Tom Holland, Alia Bhatt",Canada,3-May-2015,2022,TV-MA,4 Seasons,"Thriller, Horror, Action","A thriller, horror, action tv show available on Netflix."
